id,category,query1,query2,label
0,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血这两者之间有什么区别？,1
1,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血异同？,1
2,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血怎么治疗？,0
3,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血是什么原因导致的？,0
4,咳血,请问呕血与咯血有什么区别？,请问呕血与咯血与其他疾病有关联吗？,0
5,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人可以百令胶囊和鸽子汤一起服用吗？,1
6,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人服用百令胶囊后能否喝鸽子汤？,1
7,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人吃百令胶囊和鸽子汤对病情有帮助吗？,0
8,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人吃百令胶囊能起作用吗？,0
9,咳血,老年人吃百令胶囊能喝鸽子汤吗？,老年人能喝鸽子汤吗？,0
10,咳血,小孩吃了百令胶囊能打预防针吗,小孩吃了百令胶囊能不能打预防针,1
11,咳血,小孩吃了百令胶囊能打预防针吗,小孩吃了百令胶囊还能打预防针吗,1
12,咳血,小孩吃了百令胶囊能打预防针吗,百令胶囊能治那种病,0
13,咳血,小孩吃了百令胶囊能打预防针吗,小孩有哪些症状需要吃百令胶囊,0
14,咳血,小孩吃了百令胶囊能打预防针吗,小孩慢性支气管炎能吃百令胶囊吗,0
15,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒有哪些副作用,1
16,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒的副作用大吗,1
17,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒适用慢性支气管炎吗,0
18,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,过敏体质者能吃澳源一号乙酰半胱氨酸颗粒吗,0
19,咳血,澳源一号乙酰半胱氨酸颗粒副作用影响如何,澳源一号乙酰半胱氨酸颗粒是治那种病的,0
20,咳血,食欲不振可以用同仁堂百补增力丸吗,食欲不振可以吃同仁堂百补增力丸吗,1
21,咳血,食欲不振可以用同仁堂百补增力丸吗,食欲不振吃同仁堂百补增力丸行吗,1
22,咳血,食欲不振可以用同仁堂百补增力丸吗,同仁堂百补增力丸的疗效如何呢,0
23,咳血,食欲不振可以用同仁堂百补增力丸吗,脾胃不好的人可以长期吃同仁堂百补增力丸吗,0
24,咳血,食欲不振可以用同仁堂百补增力丸吗,同仁堂百补增力丸长期服用有副作用吗,0
25,咳血,消化不良用同仁堂百补增力丸有效果吗,消化不良吃同仁堂百补增力丸有没有效果,1
26,咳血,消化不良用同仁堂百补增力丸有效果吗,消化不良用同仁堂百补增力丸效果如何,1
27,咳血,消化不良用同仁堂百补增力丸有效果吗,消化不良的宝宝可以吃同仁堂百补增力丸吗,0
28,咳血,消化不良用同仁堂百补增力丸有效果吗,同仁堂百补增力丸的副作用大吗,0
29,咳血,消化不良用同仁堂百补增力丸有效果吗,胃痛可以吃百补增力丸吗,0
30,咳血,你好请问百补增力丸药有什么疗效,你好请问百补增力丸药有什么效果,1
31,咳血,你好请问百补增力丸药有什么疗效,你好请问百补增力丸药有什么作用,1
32,咳血,你好请问百补增力丸药有什么疗效,百补增力丸药忌高血压心脏病的人服用吗,0
33,咳血,你好请问百补增力丸药有什么疗效,百补增力丸药是处方药吗,0
34,咳血,你好请问百补增力丸药有什么疗效,宝宝可以吃百补增力丸吗,0
35,咳血,为什么服用了阿胶胶囊后月经来的很多,服用了阿胶胶囊后例假来的很多是什么原因,1
36,咳血,为什么服用了阿胶胶囊后月经来的很多,服用了阿胶胶囊后大姨妈来的很多是咋回事,1
37,咳血,为什么服用了阿胶胶囊后月经来的很多,头晕没力气可以吃阿胶胶囊吗,0
38,咳血,为什么服用了阿胶胶囊后月经来的很多,贫血服用阿胶胶囊行吗,0
39,咳血,为什么服用了阿胶胶囊后月经来的很多,阿胶胶囊是属于补气养血的中药吗,0
40,咳血,同仁堂二母宁嗽丸是激素药吗,同仁堂二母宁嗽丸是不是激素药,1
41,咳血,同仁堂二母宁嗽丸是激素药吗,同仁堂二母宁嗽丸属于激素药吗,1
42,咳血,同仁堂二母宁嗽丸是激素药吗,同仁堂二母宁嗽丸可以治哮喘吗,0
43,咳血,同仁堂二母宁嗽丸是激素药吗,感冒咳嗽能吃同仁堂二母宁嗽丸吗,0
44,咳血,同仁堂二母宁嗽丸是激素药吗,什么症状可以吃同仁堂二母宁嗽丸,0
45,咳血,吃完清肺散结丸一个疗程后吐的痰粘吗,服用清肺散结丸一个疗程后吐的痰还粘吗,1
